您好播主，想了解出工打工情况，	这块 我们不是很了解
老师：你好！期盼老师的指点指导。	1. 具体看咱们的规划是偏向回国还是长期留在美国 2. 新能源的前景不错呀，为什么觉得不对呢 目前美国的公司给抽H1B么
1：长期留美国，未知的东西太多了，工作 婚姻 觉得孩子为了绿卡压力太大了。而且估计最好也得10年以后的拿上绿卡。 Gary，您好！	您好您好
多年国内最大OEM日化工厂工作经验，产品涉及护肤，洗护，口腔，家清，彩妆等品类。有丰富的日化工厂、品牌方、原料商、包材方资源。熟悉从日化原料源头到化妆品加工厂整个供应链操作流程及运营管理工作；	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 我们之前处理过几个在美国的大华人超市的buyer岗位 但是对于化妆品可能没有特别多的涉猎 不过可以把简历发给他试试看
可以加一下微信好友吗，想替孩子咨询一下美国工签申请的事情	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
你好，刚刷的您说数据分析师美国就业难，请问JHU的生物统计硕士毕业，在美国就业情况如何？	统计 BA Finance CS整体的难度都不小 因为太多应届毕业生了
我是留学生 麻烦通过下微信	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
	您好呀
您好！女孩，美国加州大学戴维斯分校应用数学大三，硕士专业怎么选？想留在美国就业	之后的就业方向有什么计划么
您好！老师	您好您好
你好	您好
老师好，孩子录了UIUC和罗格斯的城市规划专业，老师觉得这是可能找到工作的专业吗？这两所，老师会推荐哪一所？谢谢	我对于学校的具体专业优势可能不是很权威
hi Gary，孩子计算机专业，准备2024fall美国读研，目前拿到几个o。因未来计划能留美工作，在选择学校时，希望能得到你的指导和帮助。	您好您好 感谢支持！ 简单介绍一下孩子的情况吧~
你好，目前收到马里兰大学帕克分校ds，俄亥俄州立大学cs,马塞诸塞州阿默斯特分校，加州大学圣克鲁茨分校cs,东北大学缅因州波特兰校区。 Gary你好👋我女儿在UCI读大一，目前专业量化经济。她后期想对专业和实习做一个规划。能加你微信私聊吗？谢谢	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
你好，可以加微信嗎？我兒子美本美碩是商分，即將二碩數據科學	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
老师，您的微信号多少？可以加吗？	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
JD找工作怎么样？	目前在比较active的找工作么
我家儿子目前在波士顿大学，大三，CS专业，申请暑期INTERN，您这边有合适的业务推荐吗？	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
hello	您好您好
	您好您好
你好，你微信号？	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
喜欢你的风格，可以加微信吗？	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
加个微信13520823731想更清楚了解美国公司谢谢	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
您好！我非常愿意看您发的各个视频对您的各种知识普及，我都认真记下来了！	感谢支持呀！
看到您的回信真高兴我想咨询一下：我家男孩，美本大二，在俄亥俄，计算机专业，想暑假找个地方实习。投递了一些简历，没有音信！您能指导孩子一下吗？或者您有推荐的实习单位吗？求助！！谢谢您！	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
好的，我添加他 目前添加不上他 咨询交互设计专业就业前景	UI UX需求量还是很大的，但是对于刚毕业的学生竞争比较激烈
您好	您好您好
你好，怎么直接联系你，能加你微信吗	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
美国cpa 但没有美国身份 有什么办法找美国的会计工作吗	请问现在人在美国么 目前什么身份呀
读摄影专业的怎么留下，谢谢	目前在校么
我在国内做机械设计的，请帮忙分析可以在美国继续做这个工作吗？	当然可以做
你好！正在考ARDMS，已过SPI；不知在就业方面您有何建议？谢谢！	ARDMS是医疗行业吧
您好！请问在George Statesboro是否有厨师工作可求职？	您这太具体了
博主老师你好，我现在女儿这边旧金山也没事做，一直在家里，我来半年了，我看你说把你爸送去学中医就可以留到长期的身份吗？我的微信发给你。13382539565、看你能不能帮我解决我做的家里找点工作也可以长期留在这边看有什么方法	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
Gary您好	您好您好
你好！我是家长。孩子在美读博，临近毕业。想请教就业或EB类事项。	能简单介绍一下孩子的情况么
孩子斯坦福博士，今年年底或明年初毕业。专业：流体力学（环境类）。目前，发表论文一篇（业内权威期刊）。劳伦斯实习两次，还有一些成果过一阵才能见分晓。             去年有个猎头联系她，对方要求今年三月入职，来不及，只好放弃。 您好 很感兴趣您聊的40-60岁的人 如何选择工作 谢谢	您可以具体说说
你好我的孩子在美国工作 关于工作签的问题可以咨询你吗	当然可以啦 感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
你们是帮留学生找工作的吗	您好您好 我们帮忙找工作是收费的哈，我们不会培训，也不收培训费，但是我们会在帮他拿到offer，如果候选人满意这个offer愿意去的时候收取20%第一年的基础工资作为我们的服务费。我们一般不做这个业务因为猎头主要是收取公司的20%-25%费用去挖高端有经验的人才，这个比较容易一些。如果您真的觉得需要我们的帮助且这个费用是可以接受的，我可以和您介绍一下岗位
方便加微信，想找工作，mindy1017	您好您好 能简单说一下您的情况么
Gary您好，美国宠物行业这块怎么样？	需求挺大的 具体做什么呢 最近有很多国内和华人的
你好，我想问一些美国的问题	请问有什么问题呀
您好，请问我老公在上海是ai方面做软件的，请问我们在linkin上面投简历，可以找到美国加州的工作吗？薪资如何啊？他50了	有美国身份么
主播你好，我在国内是经营外贸公司的，主要客户是欧美市场。请问去美国之后外贸还适合做吗？谢谢	这边跨境电商很火呀
你好！请问年纪大的怎样去美国打工呢？希望你能解答一下，谢谢！	您没有身份对吧
在美国开家庭厨房不需要身份吗	开是不需要的 但是如果您给这个家庭厨房干活 那就需要了
孩子在cmu读硕士第一年，共两年学制，方向是游戏设计，希望今年暑假能帮找到一家游戏设计的技术美术的实习岗位，看看能给下帮助吗？收费是多少？谢谢。	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
加不上Justin微信	您看看这样行不行哈
我儿子学飞机机务维修，已在美读书，国内学校的联合项目，2年后拿FAA执照，有留美的可能性不？	当然啦 航空业还是很吃香的 虽然波音最近比较的惨
帅哥老乡：你好！我是福州的，去美国旅游签证如何转工作签证？	有点困难哈 建议读个书
请问Gary，留学生父母随小孩移民如果70岁之前攒不够40个积分，是不是就没有美国的医疗保险和养老保险（国内名称）。希望给予解答，感谢	医疗保险如果能够证明收入比较低的话 还是会有对应的免费保险哈 不过说实话 养老保险的钱很少
了解一下我能在美国开桨板俱乐部吗？	可以呀~ 为什么不行呢？ 有什么顾虑
Gray老师你好，我想咨询一下，我们是打算移民美国，目前已经提交了i-140，想在排期期间先入境美国看看有没有合适的工作，我老公是主申请人，他是国内985硕，计算机专业的，有过十年华为研发岗工作经验，目前在国内另外一家大厂担任部门经理，工作比较稳定，如果考虑去美国工作，在没有拿到绿卡的前提下可以找到计算机方向的工作吗，因为确实除此之外也没有其他擅长的了（从毕业至今一直没有转行过）	目前这个阶段咱们仍然是没有合法的工作许可的哦
想了解一下你视频里说的中医学校，请加一下我17817728518谢谢分享！	实在不好意思 这条消息被漏掉了 感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
老师你好，网络信息安全专硕出来好去央国企单位吗，老师可以推荐一下	同学！我没在国内工作过哈哈哈 我恐怕不是最适合回答这个问题的人呢
您好 像咨询一下可以办绿卡的公司	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
你好 請問可以咨詢加拿大找工作嗎？UBC computer engineering 2022年毕业 謝謝	我们主要还是负责美国的岗位哈 加拿大的资源可能少一些
您好，我家孩子也是约翰霍普金斯的研究生	校友！
老师您好我女儿是罗切斯特会计硕士，stem项目，今年12月份毕业，有没有个合适的岗位内推？	孩子暑假实习落实了么
还没有 2024年底毕业，美国商科硕士，目前没有工作（努力学习中）你们能办理OPT并能申请HB1吗？	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
本科，畢業可以伊利諾伊州的教資格證，想畢業先工作，然後再考慮讀研，這個可能性？	当然啦 但是现在申请老师的难度是不是也挺高的
您好，在那边什么工作是可以旅游签转工签的，谢谢。	能介绍一下您的情况么 我们建议先上学哈 您这种操作移民倾向比较高，难度比较大
您好，Gary老师	您好呀
非常幸运今天看到你讲的留学生H1B的知识，我女儿美国本科毕业酒店管理专业，可以做行政人事等工作，能加我微信13991351299帮孩子规划下工作问题	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号
想加老师微信！谢谢	感谢您的喜爱和支持哈，我会安排我的助理Justin先加您，现在后台的粉丝信息比较多，我平时还需要负责猎头主线业务的开发和寻猎（博主只是副业哈）Justin也是我们公司的高级猎头顾问，他很细心也跟了我很多年了，实习、工作以及身份方面的资源和信息也会有他跟我一起对接。如果有什么他解决不了的都会来找我，希望我们团队可以一起帮到您。他的微信是Garysv2024，麻烦您添加他之后也可以截图一下您的需求方便他对上号 我们帮忙找工作是收费的哈，我们不会培训，也不收培训费，但是我们会在帮他拿到offer，如果候选人满意这个offer愿意去的时候收取20%第一年的基础工资作为我们的服务费。我们一般不做这个业务因为猎头主要是收取公司的20%-25%费用去挖高端有经验的人才，这个比较容易一些。如果您真的觉得需要我们的帮助且这个费用是可以接受的，我可以让我这边的团队成员和您对接
你好，小孩现就读东北大学数据分析研一，明年毕业想找工作，请问如何收费呢？谢谢	您好您好
你好Gary，很高兴看到了你的直播也很及时，我的孩子是美本美硕2023年毕业目前在美找工作，想联系你帮助找工作机会	感谢支持~ 孩子什么专业呀
你好！我能加入你的家长群吗？我女儿在旧金山	您可以先关注我们的视频号~等我们有群了之后通知您
老师您好  儿子今年北卡大四就毕业了，想在美国找工作。学统计的  问一下您怎么帮助孩子？怎么收费呢？想了解一下	统计呀 那确实竞争还挺激烈的 不过比较百搭 考虑非纯统计的岗位么
Gary老师好	您好您好
您好！我听您说您是学会计的，我女儿也是学会计的，正常她今年暑期毕业，我想咨询您几个关于她找工作的问题。 我们是在洛杉矶，有绿卡。 她的情况是，现在已经完成两门EA考试，八月份开始参加CPA考试，从6日份开始可以全职工作，目前是兼职因为还在上学。她目前的计划是想去四大这样大的CPA全职工作一年，明天下半年申请去藤校这样的法学院读公司法审计法，所以我们是否需要找猎头公司找到适合她的需求的工作？	今年四大的应届生招聘 应该很早之前就结束了吧
三月在他们学校招聘一个实习岗位，可是我们投了简历却没有消息。 还有一家公司我们也很感兴趣、目前投了简历也是没有消息，因为她现在只能兼职，六月份开始才能做全职。 你好，Gary，我们是女孩子，打算申请美国🇺🇸研究生，本科是华科的生物科学，大一，研究生方向有如下：生物统计、商业分析、生物信息工程，孩子英语好沟通能力强，弱点是数理偏弱，高中没有学过化学。想问一下如上三个方向是否合适啊？谢谢	还是要看孩子的具体兴趣啦
你好！福建老乡	您好您好
Gary您好!怎么联系您，急	您好您好 请问有什么问题呀
Gary，本科读的会计，研究生选什么专业好就业呢？	目前有什么方向呀
我儿子今年威斯康星麦迪逊计算机cs毕业，现在研究生申请的ce有约翰霍普金斯大学、南加州大学、纽约大学、圣路易斯华盛顿大学等,不知道该怎么选择，特向您请教。	您还您好 我这边可能对于学校专业优势没有特别的权威
Gary老师，您好想私信一下方便吗？	您好 请问有什么具体的问题呀
你好	您好您好
我想给我儿子咨询一下找工作的事情。他目前大三，Computer science 专业，学校和GPA都很一般。他不想回中国。 请问怎么加你微信 想给孩子在美找工作	您好 能简单说一下孩子的情况么
你好	您好您好
您好，请教，听了您直播说H1B和绿卡可以不在同一家公司。那么想在深入一下，如果暂时在A公司还没抽中H1B，B公司可以直接开始办绿卡吗？那么B公司打Perm是不是很难，因为我都没有去工作去证明我的能力。谢谢	是可以的哈 但是成功概率就要看公司的资质和驴似的水平啦
你好，本科供应链，申硕往哪个方向更有前景？	现在有很多中国出海公司在美国建立中转仓 可以看看跨国供应链或仓库管理之类的 其实这类岗位需求还是挺大的
你好，我孩子在美国读研一，找实习也有难度，我想知道你们是什么服务	我们作为猎头很多岗位要求其实比较高不适合刚毕业的学生。但是我们也有一些企业的资源或许可以介绍心毕业的学生给一些企业的HR或者老板，但是这种岗位他们不会支付我们猎头费我们可能需要反过来对求职者收费。一般收费是第一年年薪的20%。请慎重考虑,如果真的需要我们的付费服务我再安排我的猎头顾问跟您联系就好。
你好，可以安排一下猎头，我考虑了解下 你好	您好您好
老师好，我们本科在英属哥伦比亚大学的数学专业，辅修经济学。现在申请了美国的波士顿大学的生物统计研究生，北卡教堂山分校的生物统计，威斯康星大学麦迪逊分校的生物统计，匹兹堡大学的生物统计。想请教一下毕业后去做什么工作。选哪个学校比较好？谢谢老师！	都申请的bio stats呀 怎么这么一致
hi 您好，我是正在找工作的美国留学生，想咨询一下你们这个猎头服务	能简单介绍一下你的情况么
你好	您好您好
您好	您好
我孩子在美国MGH医院做科研，数据分析专业。当时面试时为了拿到工作，单位问他是否要申H1B，他说暂时不要。但的确现在面临这样的问题，OPT已经一年了！想请教老师我们该怎样合理规划拿到身份。	孩子是三年opt吧？ 这种情况 要么尽快和公司去说 要么开始找工作 因为opt时间很宝贵，公司就算愿意帮着抽签也有抽不到的风险 但是现在的行情确实一般
你好我女儿喜欢社会学 我不赞同 你帮我分析分析好吗	女儿目前大几了？
Hi Gary	您好您好~
